黑水缬革	植物
疣果冷水花	植物
昌都棘豆	植物
垂果苔草	植物
漆倍子	植物
中华青荚叶	植物
宽苞金背柳	植物
伞花假木豆	植物
耳柄过路黄	植物
大果绞股蓝	植物
海南山猪菜	植物
香肉果	植物
马杜梨	植物
白桐树	植物
流苏苔草	植物
长毛雀舌木	植物
梗花雀梅藤	植物
密花黄肉楠	植物
西藏树萝卜	植物
观光木	植物
硬序羊茅	植物
始兴斑叶兰	植物
胖姑娘娘	植物
峨眉无尾果	植物
壳菜果	植物
大叶猪殃殃	植物
草莓花杜鹃	植物
山西西风芹	植物
红瓣虎耳草	植物
无柱黑三棱	植物
云南鼠尾草	植物
囊花马兜铃	植物
大姚老鹳草	植物
泡竹	植物
细齿樱桃	植物
雅致雾水葛	植物
小钩叶藤	植物
茶条果	植物
粉红香水月季	植物
早园竹	植物
薄壁箭竹	植物
牛皮茶	植物
马关黄肉楠	植物
草原樱桃	植物
川滇山嵛草	植物
细觿茅	植物
亚东嵩草	植物
光叶毛果枳椇	植物
粉毛耳草	植物
灰毛桑寄生	植物
裂瓣小芹	植物
粗糙叉毛蓬	植物
狼牙草	植物
繐裂矢车菊	植物
常宁柳	植物
蝴蝶草	植物
狭叶山榄	植物
瘤果芹	植物
红籽佛甲草	植物
元江羊蹄甲	植物
甘肃南牡蒿	植物
中甸香青	植物
匍茎秋海棠	植物
宽唇角盘兰	植物
短缨垂头菊	植物
泡囊草	植物
阿勒泰橐吾	植物
曲枝委陵菜	植物
糠纰杜鹃	植物
药王子	植物
大叶锥	植物
莲座蒲儿根	植物
无毛纸叶冬青	植物
细瘦马先蒿	植物
毛叶翼萼	植物
锡金黄花茅	植物
山枸杞	植物
红花朝鲜垂柳	植物
长叶柄猕猴桃	植物
零余芋	植物
工布千里光	植物
长叶莴苣	植物
广西裂果薯	植物
巍山茴芹	植物
叉唇无喙兰	植物
印度锦鸡儿	植物
红头索	植物
滇海水仙花	植物
蒙自杜鹃	植物
大紫花针茅	植物
核果木	植物
刺松	植物
土黄莲	植物
光柃	植物
裸柱草	植物
紫葳	植物
野毛漆	植物
阿里山石豆兰	植物
台湾火筒树	植物
双舌千里光	植物
藤香槐	植物
荆条	植物
短萼蜂斗草	植物
蓝雪花	植物
卵叶泥炭藓	植物
皱叶柃	植物
骆驼蒿	植物
假玉桂	植物
湖北蓟	植物
薄叶灰木	植物
剑叶三宝木	植物
空心莲子草	植物
小叶青海锦鸡儿	植物
篱天剑	植物
扁果草	植物
庐山疏节过路黄	植物
细枝绣球	植物
小百合	植物
贝叶越橘	植物
黑长叶蒲桃	植物
榆中贝母	植物
习水秋海棠	植物
岩生头嘴菊	植物
红铜盘	植物
北兴安苔草	植物
长柱灰背杜鹃	植物
牡丹木槿	植物
耐寒栒子	植物
宝兴吊灯花	植物
膜萼离蕊茶	植物
棒状梅花草	植物
双核枸骨	植物
赤柯	植物
球序香蒲	植物
小药八旦子	植物
普香蒲	植物
带唇兰	植物
菱叶花椒	植物
心叶堇菜	植物
鹤庆猪屎豆	植物
小金黄耆	植物
茄状羽叶菊	植物
腺毛马蓝	植物
剑叶梭罗	植物
锥花绿绒蒿	植物
樱果朴	植物
网脉越桔	植物
白枝黄耆	植物
鹰嘴萼冷水花	植物
小果唐松草	植物
金发草	植物
天蔓青	植物
大理百合	植物
兰州百合	植物
疏花卷耳	植物
川青锦鸡儿	植物
硬叶早熟禾	植物
白马山荛花	植物
柔毛节节盐木	植物
改良橙	植物
重齿泡花树	植物
大叶竹叶草	植物
毛曼青冈	植物
天全黄耆	植物
云南蜂腰兰	植物
展毛含笑	植物
